trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
124,0,124,0,5,219.98841847799486,219.98841847799486,0.024468226001772564,-0.042222222222222223,0.15888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
125,0,125,0,5,221.54159106899897,221.54159106899897,0.02420126499782782,0.22444444444444445,-0.37222222222222223,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
126,0,126,0,10,223.50647241299885,223.50647241299885,0.048692689000745304,0.29888888888888887,-0.4033333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
127,0,127,0,5,224.88404030499805,224.88404030499805,0.026645408004696947,-0.3277777777777778,-0.08888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
128,0,128,0,5,226.0980271169974,226.0980271169974,0.029255874003865756,-0.29777777777777775,0.39,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
129,0,129,0,5,228.07298152199655,228.07298152199655,0.026353036999353208,0.2822222222222222,-0.10333333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
130,0,130,0,5,229.83602670300024,229.83602670300024,0.026177280000410974,-0.013333333333333334,-0.23444444444444446,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
131,0,131,0,10,231.23766909099504,231.23766909099504,0.06654769300075714,-0.011111111111111112,-0.3511111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
132,0,132,0,5,233.51509170899953,233.51509170899953,0.02575112399790669,0.4444444444444444,0.43333333333333335,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
133,0,133,0,10,235.4041144859948,235.4041144859948,0.04533188499772223,-0.3211111111111111,0.3566666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
134,0,134,0,5,237.3918844209984,237.3918844209984,0.024787064001429826,-0.5011111111111111,-0.39444444444444443,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
135,0,135,0,10,240.25740903499536,240.25740903499536,0.04634999499830883,-0.3711111111111111,0.33,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
136,0,136,0,5,242.2303846559953,242.2303846559953,0.024128552999172825,0.47444444444444445,0.058888888888888886,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
137,0,137,0,5,243.88507182499598,243.88507182499598,0.024704518997168634,-0.10555555555555556,0.4855555555555556,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
138,0,138,0,10,245.45087368499662,245.45087368499662,0.05069359700428322,0.23444444444444446,0.31,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
139,0,139,0,5,246.40016813299735,246.40016813299735,0.024303957005031407,-0.09444444444444444,0.3788888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
140,0,140,0,5,247.46684828399884,247.46684828399884,0.030808235998847522,0.3022222222222222,-0.36444444444444446,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
141,0,141,0,5,249.9297798309999,249.9297798309999,0.02509171800193144,-0.29333333333333333,-0.16444444444444445,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
142,0,142,0,5,251.71388004600158,251.71388004600158,0.039003229001536965,0.36666666666666664,-0.4577777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
143,0,143,0,5,254.99148725299892,254.99148725299892,0.025966050998249557,-0.32555555555555554,-0.4411111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
144,0,144,0,5,256.3919139299978,256.3919139299978,0.025312259000202175,0.3333333333333333,0.09111111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
145,0,145,0,10,257.6225092789973,257.6225092789973,0.05136204099835595,0.44,-0.3711111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
146,0,146,0,10,259.42479663699487,259.42479663699487,0.046068056995864026,-0.11,0.051111111111111114,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
147,0,147,0,5,261.8291698679968,261.8291698679968,0.03239835199929075,-0.08888888888888889,-0.22555555555555556,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
148,0,148,0,5,263.48569903899624,263.48569903899624,0.025699372999952175,0.16,0.44555555555555554,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
149,0,149,0,5,264.97915795199515,264.97915795199515,0.02532934800547082,-0.4177777777777778,-0.0811111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
150,0,150,0,5,266.52809303400136,266.52809303400136,0.02888344699749723,0.2511111111111111,-0.28888888888888886,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
151,0,151,0,5,268.4301304740002,268.4301304740002,0.025617596998927183,0.21222222222222223,0.03666666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
152,0,152,0,5,269.95863812699827,269.95863812699827,0.025197688999469392,0.10333333333333333,0.3511111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
153,0,153,0,5,271.1936355409998,271.1936355409998,0.026375124994956423,0.17222222222222222,-0.39111111111111113,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
154,0,154,0,5,274.0153022279992,274.0153022279992,0.02503874200192513,-0.3655555555555556,-0.043333333333333335,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
