trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
20,0,20,0,10,63.2808786,63.2808786,0.052303,[-0.06851851851851852],[0.09166666666666666],[1],[0],[0],[1.0909106000326574],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
21,0,21,0,10,64.4046692,64.4046692,0.0332816,[-0.049074074074074076],[0.012037037037037037],[1],[0],[0],[2.326524700038135],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
26,0,26,0,10,74.1525356,74.1525356,0.0518867,[-0.07962962962962963],[-0.43425925925925923],[1],[0],[0],[3.037099000066519],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
28,0,28,0,10,79.554542,79.554542,0.0348546,[-0.20092592592592592],[-0.4787037037037037],[1],[0],[0],[2.0426880000159144],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
29,0,29,0,10,81.6328715,81.6328715,0.0413371,[-0.29814814814814816],[-0.021296296296296296],[1],[0],[0],[1.3185854000039399],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
30,0,30,0,10,82.9911718,82.9911718,0.0365883,[0.1111111111111111],[-0.42777777777777776],[1],[0],[0],[1.5260458998382092],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
31,0,31,0,10,84.5577812,84.5577812,0.0354674,[-0.4425925925925926],[0.05555555555555555],[1],[0],[0],[2.240199899766594],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
33,0,33,0,10,88.7055248,88.7055248,0.0509465,[0.15185185185185185],[0.07314814814814814],[1],[0],[0],[1.6052279002033174],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
34,0,34,0,10,90.3447497,90.3447497,0.0310614,[0.4074074074074074],[0.10462962962962963],[1],[0],[0],[1.6466991999186575],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
35,0,35,0,10,92.0414162,92.0414162,0.0426812,[-0.19907407407407407],[0.4685185185185185],[1],[0],[0],[2.098364199977368],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
